Wavelength (nm),Radiance (W/m²/sr/µm)
4056.6700000000005,0.02010152
4065.67,0.0207934
4074.65,0.02152267
4083.64,0.02357793
4092.6400000000003,0.02620115
4101.62,0.02533616
4110.610000000001,0.02589705
4119.61,0.02946754
4128.599999999999,0.03125018
4137.59,0.03119243
4146.57,0.0312692
4155.56,0.03194538
4164.5599999999995,0.03248989
4173.56,0.03382739
4182.54,0.03377689
4191.530000000001,0.03215771
4200.52,0.03244828
4209.51,0.03564851
4218.5,0.0364183
4227.5,0.03500069
4236.49,0.03549647
4245.48,0.03628347
4254.47,0.03505609
4263.46,0.03351149
4272.46,0.03448051
4281.450000000001,0.03466952
4290.429999999999,0.03489217
4299.43,0.03560715
4308.41,0.03610968
4317.400000000001,0.03461327
4326.4,0.03184873
4335.39,0.02900677
4344.38,0.02512689
4353.360000000001,0.02211509
4362.36,0.0220629
4371.34,0.0236649
4380.34,0.0274758
4389.34,0.02966414
4398.32,0.03033764
4407.3099999999995,0.03324616
4416.299999999999,0.03475756
4425.29,0.03616167
4434.29,0.03705462
4443.27,0.03729777
4452.26,0.03705897
4461.26,0.03685422
4470.25,0.0342896
4479.2300000000005,0.03424557
4488.23,0.0369801
4497.2300000000005,0.03599984
4506.22,0.03489539
4515.2,0.03431861
4524.19,0.03439157
4533.1900000000005,0.03641911
4542.18,0.03712714
4551.17,0.03636524
4560.150000000001,0.03507879
4569.15,0.03414897
4578.14,0.03546864
4587.12,0.03556033
4596.12,0.03498738
4605.11,0.0358353
4614.110000000001,0.0366378
4623.09,0.0360886
4632.08,0.03439571
4641.08,0.03237242
4650.0599999999995,0.03214538
4659.049999999999,0.03400503
4668.05,0.03463874
4677.04,0.03399891
4686.02,0.03309994
4695.01,0.0342209
4704.01,0.03604797
4713.009999999999,0.03592866
4722.0,0.03578916
4730.98,0.03686747
4739.969999999999,0.03949504
4748.97,0.03927086
4757.96,0.0357719
4766.94,0.03722217
4775.9400000000005,0.03773646
4784.93,0.03477449
4793.910000000001,0.03424719
4802.91,0.03634051
4811.9,0.03619618
4820.9,0.03323176
4829.889999999999,0.03299786
4838.87,0.03203333
4847.870000000001,0.03059317
4856.849999999999,0.03205535
4865.84,0.03632465
4874.84,0.03708043
4883.83,0.03548603
4892.820000000001,0.03724481
4901.799999999999,0.03590959
4910.790000000001,0.03473568
4919.79,0.03724598
4928.79,0.04056794
4937.77,0.04061729
4946.76,0.03976255
4955.75,0.04105915
4964.75,0.04038302
4973.73,0.03791698
4982.7300000000005,0.03868945
4991.72,0.0429265
5000.71,0.04371515
5009.7,0.04187681
5018.6900000000005,0.04467511
