Wavelength (nm),Radiance (W/m²/sr/µm)
4008.0,0.0125
4021.0999999999995,0.0107
4034.3,0.0111
4047.3999999999996,0.01
4060.6,0.01
4073.7,0.0107
4086.9,0.0103
4100.0,0.0126
4080.7000000000003,0.0128
4093.8999999999996,0.0105
4107.1,0.0106
4120.2,0.0124
4133.4,0.0132
4146.6,0.0136
4159.7,0.0138
4172.900000000001,0.0139
4186.099999999999,0.0148
4199.2,0.0148
4212.4,0.0147
4225.6,0.0148
4238.7,0.014
4251.9,0.0132
4265.1,0.0137
4278.2,0.0132
4291.400000000001,0.0149
4304.599999999999,0.0138
4317.700000000001,0.0147
4330.9,0.0145
4344.1,0.0113
4357.2,0.0102
4370.4,0.0118
4383.6,0.0123
4364.7,0.0106
4377.900000000001,0.012
4391.0,0.01
4404.200000000001,0.0129
4417.4,0.0129
4430.6,0.0141
4443.7,0.0152
4456.9,0.0147
4470.1,0.016
4483.3,0.0148
4496.5,0.0139
4509.599999999999,0.0138
4522.8,0.0143
4536.0,0.0137
4549.2,0.0148
4562.299999999999,0.0145
4575.5,0.0139
4588.7,0.0147
4601.9,0.0144
4615.0,0.0149
4628.2,0.0145
4641.4,0.0138
4654.6,0.0149
4667.7,0.0131
4646.7,0.0148
4659.900000000001,0.0139
4673.099999999999,0.0137
4686.3,0.0146
4699.4,0.0163
4712.6,0.0141
4725.799999999999,0.0145
4739.0,0.015
4752.2,0.0128
4765.4,0.0138
4778.6,0.0149
4791.8,0.0135
4805.0,0.0136
4818.1,0.0149
4831.299999999999,0.0153
4844.5,0.0124
4857.700000000001,0.0148
4870.9,0.0135
4884.1,0.0135
4897.3,0.016
4910.400000000001,0.0147
4923.6,0.0142
4936.8,0.0128
4950.0,0.0136
4929.1,0.0135
4942.3,0.0145
4955.5,0.0135
4968.7,0.0146
4981.900000000001,0.0143
4995.099999999999,0.0141
5008.3,0.0138
5021.5,0.0134
5034.6,0.0133
5047.900000000001,0.0129
5061.0,0.0129
5074.2,0.0108
5087.4,0.0135
5100.6,0.0125
5113.8,0.013
5127.0,0.0124
5140.2,0.0137
5153.400000000001,0.013
5166.599999999999,0.0129
5179.8,0.0121
5193.0,0.0153
5206.2,0.0136
5219.400000000001,0.0132
5232.599999999999,0.0122
5219.400000000001,0.009
5232.599999999999,0.0111
